nombre,lat,lon,ndvi,nbr,lst_celsius,precip_60d_mm,humedad_min,viento_max_kmh,riesgo_final,nivel
Berrotaran,-32.45,-64.4833,0.229,-0.032,21.5,0,43,21.4,62.6,ALTO
Elena,-32.5667,-64.3833,0.46,0.194,20.4,0,43,18.6,49.0,MODERADO
Sampacho,-33.3833,-64.7167,0.453,0.248,19.2,0,37,19.9,49.6,MODERADO
Adelia Maria,-33.6333,-64.0167,0.534,0.312,21.9,0,27,17.9,49.6,MODERADO
Pilar,-31.6833,-63.8833,0.304,0.128,22.1,0,35,16.9,57.0,ALTO
Laguna Larga,-31.7667,-63.8,0.222,-0.102,22.8,0,35,16.9,64.3,ALTO
Pozo del Molle,-32.0167,-62.9167,0.509,0.322,20.5,0,34,22.0,48.0,MODERADO
Sacanta,-31.6667,-63.05,0.429,0.252,21.7,0,32,22.6,53.7,ALTO
Canals,-33.5667,-62.8833,0.509,0.319,21.5,0,27,20.7,50.8,ALTO
Arias,-33.65,-62.4,0.655,0.393,21.1,0,30,20.6,44.7,MODERADO
Isla Verde,-33.2333,-62.4,0.341,0.083,23.9,0,30,19.9,63.0,ALTO
Leones,-32.6667,-62.3,0.279,0.1,22.2,0,29,22.3,64.1,ALTO
Tancacha,-32.25,-63.9833,0.284,0.111,22.0,0,41,17.7,55.6,ALTO
Hernando,-32.4333,-63.7333,0.359,0.197,21.8,0,36,15.8,51.9,ALTO
Noetinger,-32.3667,-62.3167,0.527,0.341,22.2,0,36,22.5,46.4,MODERADO
Camilo Aldao,-33.1333,-62.1,0.468,0.285,22.2,0,30,20.4,51.6,ALTO
General Roca,-32.7333,-61.9167,0.402,0.197,23.6,0,28,23.7,59.4,ALTO
Pascanas,-33.1167,-62.9167,0.609,0.397,21.2,0,28,17.9,44.1,MODERADO
Ucacha,-33.0333,-63.5,0.667,0.482,19.8,0,26,16.3,39.8,MODERADO
La Cesira,-33.8,-62.9333,0.57,0.365,22.1,0,28,20.6,47.5,MODERADO
Jovita,-34.5333,-63.95,0.403,0.13,21.3,0,32,14.8,56.1,ALTO
Buchardo,-34.7333,-63.5,0.656,0.467,20.1,0,35,17.9,37.2,MODERADO
