"período";"selva_tucumano_boliviana";"parque_chaqueño";"espinal";"selva_misionera";"bosque_andino_patagónico";"monte";"total_pérdida_en_hectáreas";"anual_estimado"
"1998/2002";"54434";"1008300";"187639";"83892";"sin dato";"sin dato";"1334265";"296503"
"2002/2007";"96375";"2184445";"119489";"103824";"sin dato";"sin dato";"2504133";"443209"
"2007/2013";"37616";"1714569";"141043";"27067";"sin dato";"sin dato";"1920295";"338058"
"2013/2017";"7954";"588556";"73028";"6451";"sin dato";"sin dato";"675989";"157941"
"1998/2017";"196379";"5495870";"521199";"221234";"sin dato";"sin dato";"6434682";"319968"
